N,D,Mean CaMKII,Std CaMKII
9,-17.0,7.628386200509377,1.730015039798662
9,-17.0,7.81755035887937,1.5940260728151194
9,-16.0,7.715211854595971,1.6431965992963848
9,-16.0,7.839546191247974,1.572350637452611
9,-14.999999999999998,7.816624218569113,1.4814408220590443
9,-14.999999999999998,7.643435980551054,1.6408827729645736
9,-14.0,7.70317203056263,1.526600333026231
9,-14.0,7.519101643899051,1.6365934409160443
9,-12.999999999999998,7.685343829590183,1.5379269569583736
9,-12.999999999999998,7.531141467932391,1.6898674836191476
