time,decay_suON_mean,decay_suON_std,decay_suOFF_mean,decay_suOFF_std
0.0,0.9225522041763339,0.02880418631785928,0.7572969837587011,0.06462996557556752
5.0,0.9231090487238978,0.029608186720986723,0.7386310904872383,0.06845650546230186
10.0,0.9198607888631075,0.029350733194468365,0.7032830626450106,0.07261449022808213
15.0,0.9159048723897903,0.03191571337887582,0.6647215777262181,0.0762390548125912
20.0,0.9101160092807393,0.033796655456376654,0.6262412993039449,0.07845537406042656
25.0,0.9045707656612492,0.03487450460017315,0.5850580046403707,0.0823308016759416
30.0,0.8995475638051021,0.03644471944289664,0.5428770301624132,0.08395298212621985
35.0,0.8938979118329439,0.037293950795553726,0.500661252900232,0.08644381170557527
40.0,0.8872273781902534,0.039064962165554315,0.4598839907192582,0.08559596179971068
45.0,0.8821229698375848,0.04118340740483236,0.4201740139211137,0.08557892042849946
50.0,0.875684454756379,0.041505124661836465,0.38100928074245927,0.0834982106992113
55.0,0.8689559164733167,0.0437544870065779,0.34292343387470975,0.08199395135460996
60.0,0.8611948955916467,0.04487245727326337,0.3051508120649655,0.07852712001739817
65.0,0.8535846867749425,0.046544434248067146,0.2723085846867749,0.07615092107211487
70.0,0.8456380510440831,0.0471901798733592,0.24185614849187914,0.07318119585927285
75.0,0.8378886310904871,0.048663784594631776,0.21153132250580023,0.07058570553819817
80.0,0.829257540603249,0.04903624335526569,0.18544083526682134,0.06751628215240255
85.0,0.8211136890951274,0.05055757392603179,0.16206496519721578,0.06373637302106586
90.0,0.8132946635730867,0.05135567205994914,0.14052204176334113,0.060122314240330994
95.0,0.8041067285382834,0.0528433110542124,0.12087006960556843,0.056175969049078636
100.0,0.795348027842227,0.054815082429673014,0.10386310904872377,0.05334773904175763
105.0,0.7851392111368909,0.05462096024195814,0.08802784222737828,0.04918650678660144
110.0,0.7750000000000002,0.055889246627871814,0.07482598607888642,0.04517719557362677
115.0,0.7653248259860781,0.05696764100337523,0.06319025522041766,0.04089949764189613
120.0,0.754675174013921,0.05781459935649138,0.05324825986078882,0.03732818135701278
125.0,0.7456264501160085,0.058751627483380406,0.0444895591647332,0.033891552959205616
