Dpp1,Dsub,Avg CaMKII,intermediate_state,is_bistable
1e-15,1e-15,5.128481144523925,0.06174039863879436,0
1e-15,3e-15,5.197097020626432,0.044169734009306204,1
1e-15,1e-14,5.0248628376970625,0.055767761650114586,1
1e-15,3e-14,4.512674491284117,0.10556288631154942,1
1e-15,1e-13,5.185082297381762,0.07194944093339815,0
1e-15,3e-13,5.00298631849434,0.10653517605389262,0
1e-15,5e-13,4.739843044655879,0.10521563997499826,1
1e-15,1e-12,4.848114452392528,0.1385512882839086,1
3e-15,1e-15,5.069379818042919,0.08174178762414057,1
3e-15,3e-15,5.2165428154732965,0.05514271824432252,1
3e-15,1e-14,5.134870477116467,0.07618584623932217,0
3e-15,3e-14,5.322591846656017,0.056462254323216894,0
3e-15,1e-13,5.096951177165081,0.0704215570525731,0
3e-15,3e-13,5.140426418501285,0.06792138342940482,0
3e-15,5e-13,4.723244669768734,0.0783387735259393,1
3e-15,1e-12,5.120633377317869,0.06951871657754011,1
1e-14,1e-15,5.277310924369748,0.04173900965344816,1
1e-14,3e-15,5.209250642405722,0.059518022084867006,1
1e-14,1e-14,5.298562400166678,0.05410097923466907,0
1e-14,3e-14,5.238072088339468,0.062365442044586425,0
1e-14,1e-13,5.3346065699006875,0.030904923953052298,1
1e-14,3e-13,5.250156260851448,0.07139384679491631,0
1e-14,5e-13,5.026460170845198,0.05639280505590666,0
1e-14,1e-12,5.261615389957636,0.05618445725397597,1
3e-14,1e-15,5.563719702757136,0.020487533856517814,0
3e-14,3e-15,5.557191471629975,0.008403361344537815,1
3e-14,1e-14,5.5728870060420865,0.013056462254323217,1
3e-14,3e-14,5.561566775470519,0.014098201263976665,1
3e-14,1e-13,5.4489200638933255,0.03437738731856379,0
3e-14,3e-13,5.568650600736162,0.014167650531286895,0
3e-14,5e-13,5.385999027710258,0.013334259323564135,1
3e-14,1e-12,5.444892006389333,0.013612056392805057,1
1e-13,1e-15,5.823807208833947,0.0015278838808250573,0
1e-13,3e-15,5.740537537328981,0.0004166956038613792,1
1e-13,1e-14,5.8174178762414055,0.0011806375442739079,0
1e-13,3e-14,5.73713452323078,0.0025001736231682757,1
1e-13,1e-13,5.740676435863602,0.002152927286617126,1
1e-13,3e-13,5.801027849156191,0.004028057503993333,1
1e-13,5e-13,5.832210570178485,0.0014584346135148275,0
1e-13,1e-12,5.736162233488437,0.004583651642475171,1
5e-13,1e-15,5.903048822834919,0.002152927286617126,0
5e-13,3e-15,5.89124244739218,0.002986318494339885,0
5e-13,1e-14,5.855476074727411,0.0007639419404125286,1
5e-13,3e-14,5.844989235363567,0.002222376553927356,1
5e-13,1e-13,5.92145287867213,0.002152927286617126,0
5e-13,3e-13,5.874296826168484,0.000555594138481839,1
5e-13,5e-13,5.855962219598584,0.0031252170289603446,1
5e-13,1e-12,5.837905410097924,0.0020140287519966665,1
