x_OFF,transitions_OFF,KramerON_OFF,x_ON,transitions_ON,KramerON_ON
10.0,2510,0.0,10.0,51330,0.016054407438893192
2.0,6719,0.0,2.0,62867,0.6396062729202968
1.0,11005,0.0004392363652988225,1.0,22567,0.8719466851543317
0.5,16179,0.009622112049833362,0.5,9539,0.9550821499317997
0.2,17421,0.28646775837254534,0.2,3583,0.9847933939776585
0.1,11178,0.6207329981093739,0.1,2759,0.9893790447795398
0.05,4629,0.8784148601937848,0.05,2475,0.9900312442310442
0.03333333333333333,3372,0.9213084035349558,0.03333333333333333,2343,0.9844027687516023
