time CaMKII* CaMKII6 CaMKII7 PP1
1305 0 100 0.0 2
1310 0 100 0.0 3
1315 0 100 0.0 2
1320 0 100 0.0 6
1325 0 100 0.0 2
1330 0 100 0.0 4
1335 0 100 0.0 2
1340 0 100 0.0 1
1345 0 100 0.0 2
1350 0 100 0.0 3
1355 0 100 0.0 9
1360 0 100 0.0 2
1365 0 100 0.0 5
1370 0 100 0.0 6
1375 0 100 0.0 4
1380 0 100 0.0 3
1385 0 100 0.0 5
1390 0 100 0.0 6
1395 0 100 0.0 0
1400 0 100 0.0 0
1405 0 100 0.0 1
1410 0 100 0.0 2
1415 0 100 0.0 3
1420 0 100 0.0 0
1425 0 100 0.0 2
1430 0 100 0.0 3
1435 0 100 0.0 6
1440 0 100 0.0 1
1445 0 100 0.0 3
1450 0 100 0.0 4
1455 0 100 0.0 3
1460 0 100 0.0 3
1465 0 100 0.0 0
1470 0 100 0.0 0
1475 0 100 0.0 4
1480 0 100 0.0 2
1485 0 100 0.0 1
1490 0 100 0.0 1
1495 0 100 0.0 2
1500 0 100 0.0 1
1505 68 100 0.0 1
1510 83 100 0.0 0
1515 83 100 0.0 1
1520 79 100 0.0 0
1525 69 100 0.0 1
1530 63 100 0.0 1
1535 59 100 0.0 0
1540 54 100 0.0 2
1545 48 100 0.0 1
1550 44 100 0.0 0
1555 41 100 0.0 7
1560 35 100 0.0 0
1565 28 100 0.0 1
1570 24 100 0.0 1
1575 25 100 0.0 1
1580 21 100 0.0 5
1585 18 100 0.0 6
1590 13 100 0.0 2
1595 9 100 0.0 2
1600 8 100 0.0 3
1605 9 100 0.0 2
1610 7 100 0.0 1
1615 5 100 0.0 0
1620 6 100 0.0 4
1625 6 100 0.0 0
1630 3 100 0.0 2
1635 1 100 0.0 3
1640 1 100 0.0 0
1645 1 100 0.0 3
1650 0 100 0.0 1
1655 0 100 0.0 4
1660 0 100 0.0 3
1665 0 100 0.0 0
1670 0 100 0.0 0
1675 0 100 0.0 3
1680 0 100 0.0 2
1685 0 100 0.0 4
1690 0 100 0.0 3
1695 0 100 0.0 2
1700 0 100 0.0 6
1705 0 100 0.0 7
1710 0 100 0.0 4
1715 0 100 0.0 5
1720 0 100 0.0 2
1725 0 100 0.0 3
1730 0 100 0.0 6
1735 0 100 0.0 2
1740 0 100 0.0 6
1745 0 100 0.0 2
1750 0 100 0.0 3
1755 0 100 0.0 4
1760 0 100 0.0 4
1765 0 100 0.0 4
1770 0 100 0.0 0
1775 0 100 0.0 4
1780 0 100 0.0 0
1785 0 100 0.0 7
1790 0 100 0.0 2
1795 0 100 0.0 1
1800 0 100 0.0 2
1805 0 100 0.0 0
1810 0 100 0.0 3
