N,D,Mean CaMKII,Std CaMKII
9,1e-16,7.337039610840861,3.056286403478069
9,1.000000000000004e-15,7.860319666435024,3.4810041697546854
9,3.000000000000001e-15,9.607366226546212,3.6600848254939944
9,4.999999999999999e-15,10.608756080611537,3.6325998356463187
9,1e-14,12.489923558026407,3.3581245688019012
9,5.00000000000002e-14,15.329395413481585,2.3050638538667143
9,1.0000000000000041e-13,15.968728283530229,1.987380753763622

18,1e-16,9.21195274496178,2.477466819857162
18,1.000000000000004e-15,10.435719249478804,2.565853176428058
18,3.000000000000001e-15,11.945100764419736,2.625933496333088
18,4.999999999999999e-15,12.82696316886727,2.466441031404436
18,1e-14,14.277275886031967,2.079444873246443
18,5.00000000000002e-14,16.257123002084782,1.5058063412924199
18,1.0000000000000041e-13,16.758165392633774,1.2620073899482185
