time,decay_suON_mean,decay_suON_std,decay_suOFF_mean,decay_suOFF_std
0.0,0.9335714285714286,0.028935184429327254,0.7409523809523809,0.06792185719492111
5.0,0.9345238095238095,0.028385306473292925,0.7254761904761906,0.06866767385827612
10.0,0.9295238095238095,0.029435351353382065,0.6859523809523811,0.07553175061835865
15.0,0.9249999999999997,0.03041381265149108,0.6566666666666665,0.08028718294990644
20.0,0.9173809523809524,0.03443831779321259,0.6159523809523809,0.08973663911186429
25.0,0.915952380952381,0.03491892131437677,0.5759523809523808,0.09386057349193978
30.0,0.909047619047619,0.037020555667765354,0.5354761904761905,0.08955451601046416
35.0,0.9014285714285715,0.03967555494084419,0.5007142857142857,0.09114072993487175
40.0,0.8973809523809525,0.04254182948858485,0.4611904761904762,0.08261218579985877
45.0,0.8873809523809525,0.04386448415884475,0.4152380952380953,0.07847468791904132
50.0,0.8833333333333337,0.04201284761926244,0.379047619047619,0.07879477634999259
55.0,0.8828571428571431,0.0432206803611923,0.3421428571428573,0.07604934846111795
60.0,0.8752380952380951,0.04578615382499569,0.3138095238095238,0.07505402438219898
65.0,0.8714285714285717,0.04491109888124636,0.2783333333333332,0.07111080109059403
70.0,0.8645238095238097,0.04865830232845703,0.24785714285714286,0.06638759616954111
75.0,0.8564285714285712,0.04907823824657681,0.22047619047619046,0.06267650812865863
80.0,0.8504761904761903,0.048938853050193985,0.19738095238095243,0.06440421177478277
85.0,0.840952380952381,0.051630994927351626,0.17142857142857149,0.06794855997533052
90.0,0.8347619047619046,0.05534472466959099,0.14380952380952383,0.057856652947171364
95.0,0.8269047619047621,0.05275676870308614,0.1280952380952381,0.05456486289764273
100.0,0.8185714285714285,0.05203347954151517,0.11666666666666667,0.04764285119345052
105.0,0.8071428571428572,0.052248750920850885,0.09809523809523808,0.04462745766144721
110.0,0.7961904761904761,0.05822584849623555,0.08380952380952378,0.04105468948055351
115.0,0.7878571428571426,0.057633311890397054,0.07476190476190474,0.03593897574116801
120.0,0.7761904761904762,0.05524630480865972,0.06190476190476191,0.03194027873854096
125.0,0.768095238095238,0.06287698099645868,0.055000000000000014,0.03231172572066709
130.0,0.7623809523809525,0.05756195518575838,0.0442857142857143,0.025740727146170626
135.0,0.752857142857143,0.060327902187237756,0.03404761904761906,0.023202988704200508
140.0,0.735952380952381,0.06550389024468858,0.027142857142857153,0.01955282396918839
145.0,0.727857142857143,0.06752550538538027,0.023095238095238106,0.01805917458933471
150.0,0.7147619047619049,0.06825156880241602,0.0180952380952381,0.017489873973530436
155.0,0.7038095238095236,0.06865900492226856,0.01690476190476191,0.01724999589207615
160.0,0.6897619047619047,0.06974402501249344,0.013333333333333334,0.01553286326695247
165.0,0.6792857142857143,0.07179311736288006,0.010952380952380955,0.0147695832564484
170.0,0.6671428571428571,0.07119007803679071,0.007380952380952382,0.011763446978129168
175.0,0.6573809523809523,0.0747713824747691,0.005476190476190477,0.010954968638406993
180.0,0.6440476190476192,0.07606574611759424,0.004047619047619048,0.008744936986765222
185.0,0.6311904761904762,0.07622655395821507,0.0033333333333333335,0.009428090415820631
190.0,0.6207142857142857,0.0772563098715308,0.0030952380952380953,0.009382885950113343
195.0,0.6102380952380951,0.07857323230252858,0.002619047619047619,0.00901309201464177
200.0,0.5942857142857143,0.07946676026109632,0.0019047619047619048,0.008234103078947898
205.0,0.5811904761904763,0.07946854367047743,0.0011904761904761906,0.0062497165468603216
210.0,0.5700000000000004,0.07590721152765895,0.0009523809523809524,0.006098213559459848
215.0,0.5592857142857144,0.0750045350102835,0.0009523809523809524,0.006098213559459848
220.0,0.5492857142857143,0.07544764369266618,0.0009523809523809524,0.006098213559459848
225.0,0.5338095238095237,0.07852668278551599,0.0009523809523809524,0.006098213559459848
230.0,0.524047619047619,0.07527914793207137,0.0009523809523809524,0.006098213559459848
