Dxy,Mean RiseTime,Std RiseTime,Mean StartTime,Std StartTime
0.0,,,3.3784166666666664,1.2982675335748668
1e-20,,,3.1134305555555555,1.3436569255018462
1e-19,,,3.150888888888889,1.3292440636934204
1e-18,5.8551721340388,1.2446620965423039,2.629472222222222,1.1991337919849674
1e-17,2.6582657342657336,0.6362353641362569,2.2733055555555555,1.1626161029901911
1e-16,1.4671024087024087,0.26162593331283424,2.3984444444444444,1.063282509234702
1e-15,1.4423915343915346,0.2741415242902827,2.6300694444444446,1.2722300896621126
1e-14,1.375950345950346,0.23569982938885423,1.7855277777777778,1.112467720089325
1e-13,1.3696203703703702,0.24615254141569334,2.2558194444444446,1.2646594353664624
1e-12,1.2973403701561594,0.22521958936283046,2.143902777777778,0.9837563472390024
