suON_pp1bycamkii,suON_avgactivity,suON_avgactivity_err,suOFF_pp1bycamkii,suOFF_avgactivity,suOFF_avgactivity_err,suON_intermediate_states,suOFF_intermediate_states,suOFF_relaxation_time_mean,suOFF_relaxation_time_std,suON_relaxation_time_mean,suON_relaxation_time_std,suON_hist_0,suOFF_hist_0,suON_hist_1,suOFF_hist_1,suON_hist_2,suOFF_hist_2,suON_hist_3,suOFF_hist_3,suON_hist_4,suOFF_hist_4,suON_hist_5,suOFF_hist_5,suON_hist_6,suOFF_hist_6,suON_hist_7,suOFF_hist_7,suON_hist_8,suOFF_hist_8
3.0,0.9958376575526912,0.001059031863548856,3.0,0.934675191648116,0.11269140698845284,1.1245703108422482,1.124453122890134,2294.8,539.1776701607736,287.0,0.0,0.00016059089734142486,0.00014757001377320125,0.0003862862125239679,0.0002821191439781788,0.0003211817946828497,0.00012586854115949518,5.208353427289455e-05,0.000937503616912102,0.00016927148638690728,0.0012977480622996228,6.510441784111818e-05,0.013459253315020502,0.0004513906303650861,0.09687103345306113,0.029509662460117502,0.3400143326170239,1.0938844285664677,0.6718645712367716
5.0,0.994079838270981,0.0038498412416714555,5.0,0.9222011851897577,0.13847709674805841,1.120802935196509,1.1245442690751117,2382.0,1759.7735334095944,186.5,81.76032044946986,8.246559593208304e-05,0.0029687614535549895,0.0003732653289557443,0.0012283033499357633,0.00016493119186416607,0.001245664528026728,0.0004557309248878273,0.005768251420723072,0.000347223561819297,0.007161485962523001,0.0006901068291158528,0.026211038622834186,0.0021918487339843123,0.09809065621395141,0.038897719512806746,0.3280655017959173,1.0817967083206335,0.6542603366525331
6.0,0.9918913653216255,0.005282138434176056,6.0,0.9175917924066065,0.1515674250286459,1.1226388797796285,1.1240104128488144,2334.6,1193.7123774176089,212.0,30.822070014844883,0.0007291694798205237,0.001510422493913942,0.00026041767136447273,0.0008506977264572778,0.0001041670685457891,0.0026171975972129513,0.00016493119186416607,0.0025651140629400567,0.0002777788494554376,0.008003503099934797,0.0008246559593208303,0.03200099151617096,0.003910605364989833,0.10638061875238713,0.05246548019089577,0.3543286239530244,1.0662627942237426,0.6167428307979581
7.0,0.9901730909455669,0.007022596537795281,7.0,0.8912722464207038,0.20030025192998424,1.1156727070706287,1.1236718698760406,2075.7619047619046,1406.2300125059776,144.0,21.840329667841555,0.0012717062951631752,0.004388037762491366,5.6423828795635764e-05,0.004939255166879501,0.00014757001377320122,0.008849860531869333,8.246559593208304e-05,0.017682359885647703,0.0003862862125239679,0.01967889536610866,0.0012283033499357631,0.02952268334368573,0.0051779713656302665,0.12456645280267281,0.06098981863355952,0.35094319422528625,1.0556594547046858,0.5644292609153583
8.0,0.9865499095289719,0.011306467231740858,8.0,0.8272803907422482,0.3117980779246833,1.084761129479666,1.1227213453755605,2253.5,1466.5770180934924,152.45454545454547,96.71642112745114,0.0014192763089363764,0.023350784532347728,0.00085937831550276,0.01688808598798606,0.0003949668015694503,0.017113781303168606,0.0004817726920242746,0.017617255467806587,0.0012673660006404341,0.042074815103453324,0.0016927148638690727,0.07342042214669037,0.007469646873637627,0.1615718039035644,0.0738153889482598,0.3469805053260236,1.0375994891955598,0.42598254622895915
9.0,0.9796406429037149,0.019318650920721138,9.0,0.7428288689385376,0.422479928549107,1.042664612903599,1.119809007750801,2209.7368421052633,1612.323141682232,172.3846153846154,93.51062338788323,0.004735261324310663,0.04913647429195328,0.0004557309248878273,0.03319891280444754,0.0007161485962523,0.04130224267840539,0.0010156289183214436,0.04856789570947418,0.0012022615827993158,0.05569465931581525,0.0032031373577830146,0.09704898552849353,0.013181474465565063,0.17986614531691864,0.09200556329306822,0.32474517648602036,1.0084847935370116,0.2954395078684717
10.0,0.977878483327482,0.02029955748286065,10.0,0.6110666900721068,0.49341336193426677,0.9194696931701125,1.1190277547367076,1824.0506329113923,1508.6872565056806,140.8,71.36591156380848,0.004144981269217858,0.1371576472131451,0.0018272639940740505,0.06837265961674234,0.0008289962538435715,0.05493944806885829,0.000959205089525808,0.06730928745867075,0.0008941006716846897,0.09148906824486205,0.003346367077033475,0.1083858348218936,0.014270888390773106,0.17128972333998202,0.10121566827032508,0.22465364449708525,0.9975125289835218,0.20140268673876055
11.0,0.976704674786554,0.032691098345286815,11.0,0.5791351432682996,0.4302273542722,0.8590614740026001,1.124036454615951,1661.2777777777778,1348.4654881900042,200.5,128.82557113313248,0.0003949668015694503,0.17705797476070506,0.0005685785824790988,0.08888055123669457,0.0005815994660473225,0.06420163658038804,0.0007031277126840764,0.048910778976770736,0.0015234433774821655,0.07755672282686274,0.005555576989108752,0.10477036948445015,0.024327350799964495,0.13478784640372837,0.12409770099421674,0.22527864690835994,0.9672476552764474,0.20355547282204017
12.0,0.9543068260294214,0.05568163843224702,12.0,0.31089288538921833,0.36621669065081275,0.5310393751519104,1.110490395410476,1147.5555555555557,970.1642027239068,189.13636363636363,93.26881747963563,0.011540843135968886,0.42861710500426314,0.0029687614535549895,0.16534351984382656,0.002139765199711418,0.09520870065085128,0.002317717275143808,0.07433622429098878,0.0054904725712676345,0.05901932492023504,0.011636329615469192,0.060655615955308474,0.03409735377065497,0.07699682483342915,0.14863772622579557,0.10065142998236877,0.9061710307524332,0.06417125451872886
13.0,0.9386938221212273,0.08173208615773978,13.0,0.23602521614666724,0.40491041632105074,0.4658872140710421,1.1030945335437248,1030.9761904761904,816.95973812595,191.51162790697674,101.16504408075718,0.018012222269376033,0.4854532617795595,0.003893244186898868,0.17365952414939878,0.0023958425765531494,0.11145008275494894,0.003632826515534395,0.08494390410456833,0.008689269634527909,0.07753502135424907,0.02075528840774848,0.0721139934953453,0.04625885902337585,0.05886741461193911,0.15832526360055396,0.038893379218284035,0.863037183785431,0.022083418531707304
14.0,0.8944932272115247,0.10742662973236776,14.0,0.11598327925647861,0.22786546244391376,0.2434037168353273,1.0677081122998155,693.7457627118644,676.6521423922925,203.72641509433961,136.36220725110655,0.04694462555796896,0.6740303782036197,0.010347262142215052,0.2075659049610531,0.008849860531869333,0.09354202755411865,0.011909768170401888,0.05895422050239392,0.013572100972611773,0.03288207130428744,0.019118997372675042,0.026688471020335728,0.05397590268480972,0.015798672062778022,0.16932791021570295,0.011731816094969504,0.7909535723517449,0.003806438296444045
15.0,0.8219370059298068,0.12201869991782371,15.0,0.1000249808062531,0.1917585523092296,0.2042151975894969,0.9910454901446376,697.304347826087,522.900350867752,209.47286821705427,119.36629038120532,0.11090754593960621,0.7201763895694042,0.02304696391575584,0.20060841284109893,0.011319488115309083,0.08149771025351178,0.012174526136289103,0.04707483439365121,0.014570368712842252,0.027296112253519498,0.02766069699342975,0.02201397381934344,0.05629361995995353,0.013875921589203663,0.17133746657973212,0.006766519160953554,0.6976893236470818,0.005690126119313733
16.0,0.7100813467644551,0.15594244190756903,16.0,0.06618466892233381,0.16204427596446858,0.16624072072588467,0.8779243939984334,517.6875,317.6791263897425,220.17469879518072,141.64625745643724,0.21135064178488336,0.8952018664093172,0.035724964216682926,0.22427169857908405,0.01667541155637174,0.08654299261516112,0.015368982905026635,0.05262917129861062,0.022834289484141523,0.0,0.0338586375719042,0.015391924461789703,0.06720512039012494,0.007480187588907145,0.16416730002816363,0.0028323521971259816,0.5578146520627006,0.0013640925642900961
17.0,0.6844142917218045,0.19519172527671785,17.0,0.05427297173214403,0.13000050154514486,0.14474592880373768,0.8654720890126889,471.92857142857144,369.52246486623284,212.80392156862746,129.21122236331215,0.22273957461255633,1.1092924741221997,0.036788336374754524,0.24596159707406282,0.01992629215390491,0.0,0.01927958827001647,0.08269129124726562,0.028832576514569882,0.029039463886820556,0.04501753478987187,0.0,0.08213573354835473,0.018269746411058687,0.1702263511819104,0.008738459639118979,0.5000540125540607,0.006006967619473841
18.0,0.3890485688602194,0.16049975115644735,18.0,0.05223351556140263,0.1426741615515492,0.14846122091520414,0.516620916747364,506.58620689655174,351.8187736106797,222.2948717948718,145.31928675130027,0.536963877175452,1.119645523323778,0.07141520607718393,0.23189325576101757,0.031922866214761626,0.0,0.024084294306690998,0.08239036416035556,0.0242318643204642,0.040075386093310544,0.02909299418593436,0.0,0.05116773212859617,0.020208411297883092,0.10444484739524458,0.005653956998290888,0.25167631819567204,0.0001331023653640639
19.0,0.33714298666275716,0.13954480920065276,19.0,0.04194942881724081,0.10003510816013948,0.10859416895898516,0.4460043248623644,375.22727272727275,270.23759442019997,218.61481481481482,128.21388294767948,0.6051542444222392,1.1838240116667116,0.07384143071539627,0.20758181937430312,0.026402011581834806,0.0,0.020572996037793355,0.0634608929818402,0.022113800593366484,0.022714208002345686,0.028719728856978613,0.0,0.041736272130679514,0.01386000717595361,0.08822516676376066,0.006047477035019425,0.21823434889795099,0.002511583763826249
20.0,0.22193517336100835,0.13261335884783507,20.0,0.03574811245413755,0.0634898282786585,0.0647311525121625,0.311251200814818,288.5238095238095,182.9474603339177,203.15333333333334,149.8294913856711,0.7249593941334651,0.910038233172196,0.08878940505171702,0.1502306143156417,0.03240897920130865,0.039440256328149424,0.020790010763930417,0.014947974336320745,0.019809104201790904,0.007139784489909299,0.023593841025621242,0.0017100760419600388,0.03601142365518386,0.00025173708231899047,0.060937735099286655,0.0007725724250479363,0.11770010686769626,0.00046875180845605123
21.0,0.1287885948634061,0.11010893174742185,21.0,0.025932777518431784,0.05145853186161984,0.05210668251034919,0.1954261011809459,228.0,123.45911811670229,224.61111111111111,165.75427112162672,0.8440006520086882,1.262933113167875,0.08557324681036578,0.18496020432177596,0.030377721364665756,0.0,0.01962247153731303,0.036111250429206904,0.018190174344808428,0.010671337466579733,0.018502675550445796,0.0,0.02341588895018885,0.004675943965833202,0.034405514681769604,0.0005960671144564602,0.050911654751754444,5.208353427289458e-05
22.0,0.06990189005358817,0.06658879856789571,22.0,0.029377042349700424,0.05617085162916745,0.05694962447496216,0.1082469453971659,296.94444444444446,178.17920823405177,185.86486486486487,124.25620048962092,0.9365313909390083,1.0807581378455495,0.08022166366382587,0.14800652339377413,0.025130305286671633,0.033278898232080925,0.012374179684335202,0.012366119137364398,0.009882850628281746,0.0,0.009618092662394532,0.006875026524022084,0.009583370306212601,0.0036508077357000385,0.016875065104417844,0.0007043677968334314,0.024783081724852336,7.440504896127796e-05
23.0,0.05755809243091216,0.06431882453250207,23.0,0.024631653671503363,0.0579446679964043,0.06267385290838312,0.09222691831372808,219.375,149.51081691636895,208.64705882352942,142.21553285582814,0.9502163395692115,1.5299503470306597,0.08255674211706066,0.207375800060957,0.02263897623061818,0.0,0.01346793390406599,0.045472397655855146,0.011163237512490405,0.0,0.008546039915277453,0.012472270340549152,0.008502636970050041,0.0,0.011879386108742706,0.00468751808456051,0.01602870767248331,4.166682741831565e-05
24.0,0.03997989961381024,0.05150193480684724,24.0,0.02136775219040197,0.2877441656796516,0.2928309908603043,0.06601153939637111,207.0,100.93958589176002,211.92307692307693,158.83189543009667,0.9831982376475217,1.957169009139696,0.07579022295610707,0.0,0.0196615341880177,0.22324738907171715,0.01119361957414959,0.0,0.007786488373797738,0.05246548019089581,0.005954884085200946,0.0,0.006905408585681272,0.012031296417038649,0.007304715681773463,0.0,0.007204888907750415,0.005086825180652704
25.0,0.026637834250903745,0.03963556958167276,25.0,0.01823647081971767,0.0389237612799432,0.0398612648968553,0.044843923008962214,183.0,100.71884488160948,163.35714285714286,100.16125603687462,1.0030854671507219,1.5845963911897807,0.07707060984031573,0.17554234391336385,0.01927958827001647,0.0,0.007786488373797738,0.0335904073703988,0.004631094255764875,0.0,0.004114599207558671,0.005333353909544403,0.0038237994745350095,0.0,0.0029557405699867667,0.0008055586634207692,0.00225261285730269,0.0001319449534913329
26.0,0.020825697630006287,0.029214522432571118,26.0,0.016567868703197156,0.029988541622459963,0.030057986334823823,0.033055683085197095,217.25,76.70519865041743,156.26470588235293,116.13640783541351,1.0215490800504634,1.339357019124302,0.07039523686433977,0.130584994540874,0.015151968178889582,0.0,0.0058376961330869346,0.023049857445437673,0.0032161582413512404,0.005989606441382875,0.002521711117712646,0.0,0.0024869887615307164,0.0009490777356394121,0.0019053892954833933,5.208353427289457e-05,0.001935771357142582,1.7361178090964856e-05
27.0,0.02135955385630346,0.03219630476969433,27.0,0.015367536140185725,0.02333342335425677,0.025944544539137884,0.03580308951809228,472.0,0.0,184.02941176470588,93.80000166001429,1.0241792985312443,1.61463122928715,0.0650176119506634,0.1594242261737121,0.014978356397979932,0.0,0.006757838571908071,0.019215351911079905,0.004513906303650863,0.0,0.0031467135289873806,0.004118071443176864,0.0027994899671680835,0.0,0.002452266405348786,0.001972229831133608,0.001154518343049163,0.0006388913537475068
28.0,0.017186601800161266,0.022417621209958376,28.0,0.01588740697302073,0.027826496244198466,0.03163206648173796,0.02629350421876628,314.8,102.61266978302436,142.82142857142858,78.14320808226238,1.0365751796881932,1.6162076242578094,0.062131316093040484,0.15216030926045238,0.012795188253041101,0.0,0.0046267539612421344,0.022215363485198626,0.002647579658872141,0.0,0.0011241362813899747,0.005611132758999841,0.0012239630554130225,0.0,0.0014843807267774954,0.0036736252840481633,0.0023915022820304092,0.0001319449534913329
30.0,0.01190542787587915,0.015334260548844713,30.0,0.011481043522544454,0.017340344677255697,0.018270903822931416,0.016462737124757428,176.0,58.0,159.76923076923077,132.0845614027118,1.0569137998217586,1.656110555982083,0.051623463053484,0.1256185401949853,0.00796878074375287,0.0,0.0027560870219406714,0.016263951635615875,0.0015277836720049075,0.0,0.0015798672062778021,0.001076393041639821,0.0015017419048684603,0.0,0.000729169479820524,0.0007013915948749801,0.0003993070960921917,0.00022916755080073609
