suON_pp1bycamkii,suON_avgactivity,suON_avgactivity_err,suOFF_pp1bycamkii,suOFF_avgactivity,suOFF_avgactivity_err,suON_intermediate_states,suOFF_intermediate_states,suON_hist_0,suOFF_hist_0,suON_hist_1,suOFF_hist_1,suON_hist_2,suOFF_hist_2,suON_hist_3,suOFF_hist_3,suON_hist_4,suOFF_hist_4,suON_hist_5,suOFF_hist_5,suON_hist_6,suOFF_hist_6,suON_hist_7,suOFF_hist_7,suON_hist_8,suOFF_hist_8,suON_hist_9,suOFF_hist_9,suON_hist_10,suOFF_hist_10,suON_hist_11,suOFF_hist_11,suON_hist_12,suOFF_hist_12
1.0,0.9969601863175913,0.0008150108603814056,1.0,0.9533662681311785,0.11873245395751274,1.083044944875045,1.0825016043014566,0.00043049291599633215,0.0001630021720762812,0.00040123611588007655,0.000125386286212524,0.00022569531518254306,4.1795428737508e-05,0.00010030902897001914,0.0002047976008137892,3.343634299000638e-05,0.0001379249148337764,2.9256800116255585e-05,0.001692714863869074,8.359085747501595e-06,0.0002674907439200512,5.015451448500957e-05,2.50772572425048e-05,3.343634299000638e-05,0.0021232077798654064,1.671817149500319e-05,0.02042542602402016,0.0003176452584050606,0.09381401934421046,0.025185925357222305,0.3285622243912979,1.056500668083853,0.6357502665262342
2.0,0.9971530882963798,0.0008066517746339039,2.0,0.9438822423440419,0.16406795550908768,1.0828568654457262,1.082932097217453,0.00027584982966755264,0.0003427225156475656,0.00012538628621252393,0.0001337453719600256,6.269314310626197e-05,7.52317717275144e-05,1.671817149500319e-05,0.0002591316581725496,5.4334057358760365e-05,9.612948609626841e-05,6.687268598001276e-05,6.68726859800128e-05,7.523177172751436e-05,0.000773215431643898,1.671817149500319e-05,0.0012455037763777384,2.5077257242504784e-05,0.0010741425185539556,3.343634299000638e-05,0.026878640221091394,0.00045557017323883694,0.13359908795944433,0.02899348891520928,0.35662785478853454,1.0531319565276098,0.5621610551481039
3.0,0.9957207911038749,0.001011449375447693,3.0,0.9399502570097363,0.17520643726763352,1.0832163061328686,1.0820794704712078,0.001195349261892728,0.00011284765759127161,5.851360023251117e-05,4.1795428737508e-06,7.105222885376356e-05,4.1795428737508e-05,4.1795428737507975e-05,0.000480647430481342,1.671817149500319e-05,0.0005475201164613548,4.1795428737507975e-05,0.0001086681147175208,9.612948609626834e-05,0.0004931860591025944,9.612948609626834e-05,0.000689624574168882,0.00012956582908627473,0.0035818682428044356,5.851360023251117e-05,0.02999239966203574,0.00045974971611258776,0.13927072763912415,0.036458152487728206,0.3801085266532665,1.0446098686080318,0.5279013422119686
4.0,0.9965840274589537,0.0011911697190189773,4.0,0.9456894123819922,0.14600815075161044,1.08266042693066,1.0824807065870878,0.0007188813742851372,0.0001964385150662876,0.00013374537196002553,0.0004764678876075912,5.015451448500957e-05,0.0002424134866775464,5.851360023251117e-05,1.25386286212524e-05,8.777040034876675e-05,1.25386286212524e-05,6.269314310626197e-05,0.00011284765759127161,4.597497161125877e-05,0.0019518465220416236,3.761588586375718e-05,0.0011410152045339685,6.687268598001276e-05,0.00480647430481342,6.687268598001276e-05,0.023443055978868237,0.0007147018314113863,0.11428542033984188,0.02977924297547443,0.35946994394268506,1.0515102938925944,0.5771823322363643
5.0,0.9960670501558008,0.0023990576095329584,5.0,0.9292692744442173,0.2152548170839137,1.0799938785772067,1.0830240471606756,0.00026749074392005105,0.0019727442364103776,4.179542873750798e-05,0.0013667105197165117,2.9256800116255588e-05,0.00011284765759127161,6.269314310626197e-05,0.000250772572425048,4.179542873750798e-06,0.0005600587450826073,9.194994322251756e-05,0.0004639292589863388,2.9256800116255588e-05,0.000146284000581278,5.433405735876037e-05,0.0034230456136019054,0.00011284765759127154,0.008593140148431645,0.00031764525840506067,0.04817759070572547,0.001696894406742824,0.15352714838148815,0.040679490790216516,0.36572671962469,1.039945498760926,0.49901234186860305
6.0,0.9941139176205672,0.005216069506440996,6.0,0.925061117776946,0.23501151624813377,1.081837056984531,1.0827398382452604,0.0004848269733550926,0.0009403971465939302,0.00010866811471752074,0.0005558792022088564,0.00013792491483377635,0.00040541565875382764,0.0002006180579400383,0.00014628400058127802,0.00017136125782378272,0.0006854450312951313,0.00010030902897001915,0.002449212124017969,3.7615885863757185e-05,0.002432493952522966,2.9256800116255588e-05,0.006072875795559913,0.0002424134866775463,0.017892623042527176,0.0004304929159963322,0.04072964530470155,0.003866077158219488,0.16419752133817395,0.05388266672839529,0.36169346075152053,1.0236411020104241,0.4851320799848767
7.0,0.9925639502210013,0.00659531865477876,7.0,0.9007008128889387,0.3249343811768822,1.0784056522851815,1.081891391041889,0.0013499923482215078,0.003347813841874391,9.194994322251756e-05,0.0015798672062778026,5.433405735876037e-05,0.0018306397787028507,1.2538628621252394e-05,0.0014711990915602818,7.941131460126517e-05,0.0011786310903977258,3.7615885863757185e-05,0.0055002784218560535,6.269314310626197e-05,0.0037365113291332156,0.0001880794293187859,0.008099954089329052,0.0002047976008137891,0.027518110280775273,0.0007272404600326389,0.07424957915218297,0.005228608135062249,0.20134947794294483,0.06312781556513206,0.3554199668980206,1.0121682568219783,0.39805130421027873
8.0,0.9907709263281623,0.010611859356453278,8.0,0.8908502733421039,0.36354917778746587,1.0789657110302642,1.081640618469464,0.0014670195486865302,0.003209888927040615,0.00022569531518254308,0.0011577333760289718,0.00015464308632877954,0.0006687268598001281,4.597497161125878e-05,0.002323825837805445,7.523177172751437e-05,0.001299837833736499,1.2538628621252394e-05,0.003063604926459337,2.089771436875399e-05,0.010039261982749422,0.0002006180579400383,0.020291680652060138,0.0002340544009300447,0.024876639184564765,0.0015589694919090477,0.07595065310179955,0.008308931233016587,0.22503494740849062,0.07388177937929286,0.36912468798104947,0.9971469797337179,0.34629184526174883
9.0,0.9894145039139809,0.0125637058784949,9.0,0.8478373116151422,0.4181716236045151,1.053591706243723,1.0815152321832515,0.0014628400058127795,0.021290591398886574,0.00035526114426881787,0.008451035690724118,2.0897714368753994e-05,0.004183722416624551,3.7615885863757185e-05,0.0037406908720069663,2.925680011625559e-05,0.005124119563218481,0.00019225897219253674,0.009011094435806725,0.00021315668656129072,0.01363784839704886,0.0002758498296675527,0.02001165127951883,0.0005684178308301086,0.047930997676174175,0.0020396169223903895,0.11563123314518964,0.009186635236504256,0.19890026581892684,0.08459812730758992,0.3317888314898335,0.9843533989971668,0.3036312511493744
10.0,0.9862676296333446,0.02306271757735691,10.0,0.5482351397960641,0.4746163501145194,0.7844918383172774,1.0817701842985505,0.0013792491483377634,0.22182923802432367,0.00018389988644503514,0.07701225699173223,3.7615885863757185e-05,0.0434254504582708,5.015451448500958e-05,0.03122954435266597,0.00010866811471752076,0.02452973712604344,5.015451448500958e-05,0.027764703310326558,0.00013374537196002555,0.024663482498003465,0.0002800293725413035,0.030456328921022072,0.0014795581773077828,0.054145977929441605,0.004898424248035936,0.10053890382807547,0.016024367377960563,0.1378622216906701,0.10303409092370469,0.16375866933643005,0.9556733757974889,0.14611681886632794
