pp_camkii_ration,residence_time_ON_state,time_spend_in_transitions,relax_time_mean,relax_time_std
1.0,0.9080660655794628,0.09152883713931875,0.0,0.0
2.0,0.8390027662357203,0.15936527043137072,0.0,0.0
3.0,0.8961099086794987,0.10150580446532946,15420.0,0.0
4.0,0.8424866028541997,0.15230500353013346,9437.142857142857,6388.377201238678
5.0,0.8158080533339507,0.15246704244262085,11385.882352941177,8624.263350518719
6.0,0.6136760842139376,0.2572714961978727,5857.674418604651,4127.859311876789
7.0,0.15399483790321644,0.21494461741455342,5993.571428571428,4970.1108167335915
8.0,0.008888991770738087,0.07997777752057315,5277.142857142857,4471.438612494431
9.0,0.011701524323198187,0.047766756559682405,4570.0,2989.6655331324273
10.0,0.0,0.01822937765483397,3273.3333333333335,1809.1127352624787
11.0,0.0,0.011770969571407077,2967.2727272727275,1378.5439677697552
12.0,0.0,0.010752439264343336,3267.2727272727275,2406.7219913819818
13.0,0.0,0.00237271264713712,0.0,0.0
14.0,0.0,0.0032639266658178916,2190.0,1890.0
15.0,0.0,0.0022453963587541525,0.0,0.0
16.0,0.0,0.0012963112998993045,0.0,0.0
17.0,0.0,0.0009722334749244783,0.0,0.0
18.0,0.0,0.0007870461463674349,0.0,0.0
19.0,0.0,0.0008101945624370652,0.0,0.0
20.0,0.0,0.0002083357446266739,0.0,0.0
