pp_camkii_ration,residence_time_ON_state,time_spend_in_transitions,relax_time_mean,relax_time_std
1.0,0.99937499276612,0.0002893552008703804,0.0,0.0
2.0,0.9995023090545029,0.00011574208034815218,0.0,0.0
3.0,0.9992823991018414,0.0004629683213926087,0.0,0.0
4.0,0.998553223995648,0.0004976909454970544,0.0,0.0
5.0,0.9979050683456985,0.0005439877776363153,0.0,0.0
6.0,0.9958448593155014,0.001215291843655598,1230.0,330.0
7.0,0.9960068982279887,0.002291693190893413,1320.0,0.0
8.0,0.9932522367157026,0.004872741582657206,1740.0,0.0
9.0,0.9823840553710113,0.007349622102107664,0.0,0.0
10.0,0.9744788712832324,0.013333487656107132,2088.0,1733.7404650062247
11.0,0.9247907961897707,0.025312792972140882,1120.0,597.0594610254493
12.0,0.837579138647438,0.0419796525422748,1203.5294117647059,735.8463808389436
13.0,0.6738503917869421,0.058947441521313905,1287.142857142857,900.5905092249875
14.0,0.3352469357284228,0.04500052083936157,1101.923076923077,762.5893099311722
15.0,0.07038275905971134,0.022291924675054108,1184.0,722.9827107199729
16.0,0.01914374008958437,0.01197930531603375,1306.9565217391305,969.4033789672486
17.0,0.00020833574462667388,0.0019676153659185873,1980.0,1526.7612779999367
18.0,0.0004629683213926087,0.003402817162235674,1032.857142857143,414.56394597953465
19.0,3.472262410444565e-05,0.0020486348221622937,765.0,336.41492238008703
20.0,0.0,4.629683213926087e-05,0.0,0.0
