time,decay_suON_mean,decay_suON_std,decay_suOFF_mean,decay_suOFF_std
0.0,0.9384496124031012,0.040523696051942615,0.7439728682170546,0.0773589692057716
5.0,0.9350775193798452,0.04153304697160739,0.7222868217054256,0.08272375752400697
10.0,0.9285077519379838,0.043721080563543804,0.6816860465116277,0.08842542887635221
15.0,0.9202131782945733,0.04720638650762997,0.6372286821705422,0.09280864091503484
20.0,0.9114534883720932,0.05009312807241447,0.5918023255813948,0.09976157465446016
25.0,0.9039147286821706,0.05316517059561909,0.5461627906976745,0.10609344211792299
30.0,0.8932945736434099,0.05694072847884846,0.4984108527131783,0.10724615693250848
35.0,0.8832170542635658,0.05991045789314295,0.45424418604651184,0.10897518770786961
40.0,0.8730620155038752,0.062353114459178675,0.4079457364341089,0.10980446398612104
45.0,0.8629263565891468,0.06293347665292924,0.36350775193798424,0.10674129204895147
50.0,0.8499224806201541,0.06594566854652446,0.3213372093023259,0.10615712836305219
55.0,0.8398449612403098,0.07091849777966307,0.28230620155038744,0.10299164205717753
60.0,0.8273837209302316,0.07391289687286764,0.24728682170542646,0.09837242900108173
65.0,0.8131395348837216,0.07781305804866201,0.21687984496124033,0.09401546704339037
70.0,0.7993217054263563,0.08061371424406215,0.18757751937984515,0.08817345373883308
75.0,0.7860077519379838,0.08520581522208087,0.16261627906976756,0.08371889128654122
80.0,0.7718410852713175,0.09016082711526666,0.13759689922480614,0.07682432586524121
85.0,0.7567054263565891,0.09485606420409343,0.11631782945736421,0.07046913497720857
90.0,0.7435271317829467,0.09764455215828458,0.0974612403100775,0.06519164093711735
95.0,0.7282364341085273,0.10245149310770256,0.08209302325581393,0.05891031705228726
100.0,0.7143217054263561,0.10709937605130991,0.06794573643410852,0.052481493242711695
105.0,0.6994767441860472,0.1111371692522338,0.056899224806201514,0.048637218173402275
110.0,0.6846705426356597,0.11579556290323748,0.04746124031007749,0.04375261287449421
115.0,0.6697480620155045,0.12000538786404241,0.0393410852713178,0.03912254571622746
120.0,0.6556976744186054,0.12515609507381792,0.03232558139534877,0.034858776611242696
125.0,0.6415891472868227,0.12932514833065425,0.026569767441860407,0.0309922623617978
