x_OFF,transitions_OFF,KramerON_OFF,x_ON,transitions_ON,KramerON_ON
10.0,494,0.0024704875407914008,10.0,14259,0.1482379330080631
2.0,2038,0.026723395094557345,2.0,11408,0.6433580112025528
1.0,3691,0.10522575533897878,1.0,5739,0.8292064983833902
0.5,5125,0.31878490670422843,0.5,3376,0.9131093247160444
0.2,4359,0.6317677267174344,0.2,1806,0.9338998460068554
0.1,2428,0.8376411097460126,0.1,1898,0.9446527457481168
0.05,1418,0.9136787694900287,0.05,1349,0.9582835406733453
0.03333333333333333,993,0.9423234619927442,0.03333333333333333,1468,0.970608779287488
