time,colocalization_perc,colocalization,all_camkii
0.0,0.0,0.0,0.001
0.016666666666666666,0.0006878454726890541,6.87845472689054e-09,0.0009999999999999998
0.03333333333333333,0.002362280386200064,2.3622803862000647e-08,0.0010000000000000002
0.05,0.0044444466920674575,4.444446692067458e-08,0.0010000000000000002
0.06666666666666667,0.0066624475906053165,6.662447590605323e-08,0.0010000000000000009
0.08333333333333333,0.008921201365297246,8.921201365297255e-08,0.0010000000000000009
0.1,0.011191037350365139,1.1191037350365151e-07,0.001000000000000001
0.11666666666666667,0.013463435188211057,1.3463435188211064e-07,0.0010000000000000005
0.13333333333333333,0.015736191908154437,1.5736191908154444e-07,0.0010000000000000005
0.15,0.01800884338733205,1.8008843387332072e-07,0.0010000000000000013
0.16666666666666666,0.020281345636047814,2.0281345636047834e-07,0.0010000000000000009
0.18333333333333332,0.022553728603075508,2.2553728603075518e-07,0.0010000000000000005
0.2,0.02482602006110596,2.4826020061105996e-07,0.0010000000000000013
0.21666666666666667,0.027098236308251103,2.709823630825114e-07,0.0010000000000000013
0.23333333333333334,0.02937038554706056,2.9370385547060605e-07,0.0010000000000000015
0.25,0.031642471596255516,3.1642471596255535e-07,0.0010000000000000007
0.26666666666666666,0.033914496151952404,3.391449615195244e-07,0.0010000000000000009
0.2833333333333333,0.03618645994446746,3.6186459944467487e-07,0.0010000000000000009
0.3,0.03845836328174553,3.8458363281745563e-07,0.0010000000000000009
0.31666666666666665,0.040730206292025124,4.073020629202516e-07,0.0010000000000000009
0.3333333333333333,0.04300198902861349,4.3001989028613504e-07,0.0010000000000000005
0.35,0.0452737115140534,4.527371151405344e-07,0.0010000000000000009
0.36666666666666664,0.0475453737584103,4.754537375841032e-07,0.0010000000000000005
0.38333333333333336,0.04981697576673879,4.981697576673883e-07,0.0010000000000000009
0.4,0.05208851754209769,5.208851754209771e-07,0.0010000000000000005
0.4166666666666667,0.0543599990867562,5.435999908675622e-07,0.0010000000000000005
0.43333333333333335,0.05663142040267304,5.663142040267307e-07,0.0010000000000000005
0.45,0.058902781491685374,5.890278149168542e-07,0.0010000000000000007
0.4666666666666667,0.06117408235558311,6.117408235558313e-07,0.0010000000000000005
0.48333333333333334,0.0634453229961375,6.344532299613752e-07,0.0010000000000000002
0.5,0.06571650341511281,6.571650341511287e-07,0.0010000000000000009
0.5166666666666667,0.06798762361427056,6.798762361427058e-07,0.0010000000000000005
0.5333333333333333,0.070258683595371,7.025868359537098e-07,0.0009999999999999998
0.55,0.07252968336017397,7.25296833601739e-07,0.0009999999999999992
0.5666666666666667,0.07480062291043908,7.480062291043906e-07,0.0009999999999999996
0.5833333333333334,0.07707150224792601,7.707150224792599e-07,0.0009999999999999996
0.6,0.07934232137439413,7.934232137439407e-07,0.0009999999999999992
0.6166666666666667,0.08161308029160283,8.161308029160283e-07,0.001
0.6333333333333333,0.08388377900131154,8.388377900131152e-07,0.0009999999999999998
0.65,0.0861544175052795,8.615441750527946e-07,0.0009999999999999996
0.6666666666666666,0.08842499580526596,8.842499580526587e-07,0.000999999999999999
0.6833333333333333,0.09069551390303003,9.069551390302995e-07,0.0009999999999999992
0.7,0.09296597180033082,9.29659718003308e-07,0.0009999999999999998
0.7166666666666667,0.0952363694989275,9.523636949892747e-07,0.0009999999999999996
0.7333333333333333,0.09750670700057906,9.750670700057899e-07,0.0009999999999999992
0.75,0.0997769843070443,9.977698430704426e-07,0.0009999999999999996
0.7666666666666667,0.10204720142008221,1.0204720142008217e-06,0.0009999999999999996
0.7833333333333333,0.10431735834145177,1.0431735834145172e-06,0.0009999999999999996
0.8,0.10658745507291158,1.0658745507291154e-06,0.0009999999999999996
0.8166666666666667,0.10885749161622049,1.088574916162204e-06,0.0009999999999999992
0.8333333333333334,0.11112746797313706,1.1112746797313698e-06,0.0009999999999999992
0.85,0.11339738414541989,1.1339738414541985e-06,0.0009999999999999996
0.8666666666666667,0.11566724013482776,1.156672401348277e-06,0.0009999999999999996
0.8833333333333333,0.11793703594311905,1.1793703594311896e-06,0.0009999999999999992
0.9,0.1202067715720522,1.202067715720521e-06,0.0009999999999999992
0.9166666666666666,0.12247644702338553,1.2247644702338543e-06,0.0009999999999999992
0.9333333333333333,0.12474606229887764,1.2474606229887754e-06,0.0009999999999999994
0.95,0.12701561740028655,1.2701561740028644e-06,0.0009999999999999992
0.9666666666666667,0.12928511232937057,1.2928511232937042e-06,0.000999999999999999
0.9833333333333333,0.13155454708788789,1.3155454708788781e-06,0.0009999999999999994
1.0,0.13382392167759682,1.338239216775967e-06,0.000999999999999999
1.0166666666666666,0.13609323610025512,1.36093236100255e-06,0.0009999999999999992
1.0333333333333334,0.13836249035762108,1.383624903576209e-06,0.0009999999999999987
1.05,0.14063168445145247,1.4063168445145229e-06,0.0009999999999999987
1.0666666666666667,0.14290081838350713,1.4290081838350702e-06,0.0009999999999999992
1.0833333333333333,0.14516989215554293,1.451698921555428e-06,0.0009999999999999992
1.1,0.14743890576931787,1.4743890576931769e-06,0.0009999999999999987
1.1166666666666667,0.14970785922658947,1.4970785922658928e-06,0.0009999999999999987
1.1333333333333333,0.1519767525291156,1.5197675252911541e-06,0.0009999999999999987
1.15,0.1542455856786536,1.5424558567865353e-06,0.0009999999999999996
1.1666666666666667,0.15651435867696148,1.5651435867696128e-06,0.0009999999999999987
1.1833333333333333,0.15878307152579635,1.5878307152579622e-06,0.0009999999999999992
1.2,0.161051724226916,1.610517242269158e-06,0.0009999999999999987
1.2166666666666666,0.1633203167820776,1.633203167820774e-06,0.0009999999999999987
