rgain,rlose,half_life,tau
0.01,0.0001,,9981.120610650816
0.01,0.00018329807108324357,,8889.014654103345
0.01,0.0003359818286283781,,8361.185306499692
0.01,0.0006158482110660267,,8093.020915885898
0.01,0.0011288378916846883,,7952.475638769445
0.01,0.00206913808111479,,7877.486731290259
0.01,0.00379269019073225,,7837.073493604187
0.01,0.0069519279617756054,,7815.173061006673
0.01,0.012742749857031334,,7803.268821355392
0.01,0.023357214690901212,,7796.787352159955
0.01,0.04281332398719392,,7793.255191747466
0.01,0.07847599703514607,,7791.3293384538365
0.01,0.14384498882876628,,7790.279013213629
0.01,0.26366508987303583,,7789.70610019737
0.01,0.4832930238571752,,7789.3935723650275
0.01,0.8858667904100823,,7789.223078896131
0.01,1.623776739188721,,7789.1300672328325
0.01,2.9763514416313193,,7789.079324632983
0.01,5.455594781168514,,7789.051641780508
0.01,10.0,,7789.036539196063
0.012663801734674034,0.0001,,7912.3376281284845
0.012663801734674034,0.00018329807108324357,,7037.571241372913
0.012663801734674034,0.0003359818286283781,,6613.602328824641
0.012663801734674034,0.0006158482110660267,,6397.8576486885295
0.012663801734674034,0.0011288378916846883,,6284.68659447545
0.012663801734674034,0.00206913808111479,,6224.274816465849
0.012663801734674034,0.00379269019073225,,6191.709181760857
0.012663801734674034,0.0069519279617756054,,6174.059005459357
0.012663801734674034,0.012742749857031334,,6164.4643163719165
0.012663801734674034,0.023357214690901212,,6159.240106411998
0.012663801734674034,0.04281332398719392,,6156.393041624632
0.012663801734674034,0.07847599703514607,,6154.840706602484
0.012663801734674034,0.14384498882876628,,6153.9940857454
0.012663801734674034,0.26366508987303583,,6153.532284166722
0.012663801734674034,0.4832930238571752,,6153.280367865205
0.012663801734674034,0.8858667904100823,,6153.1429396665135
0.012663801734674034,1.623776739188721,,6153.06796652062
0.012663801734674034,2.9763514416313193,,6153.0270648423375
0.012663801734674034,5.455594781168514,,6153.0047507204645
0.012663801734674034,10.0,,6152.992577103351
0.0160371874375133,0.0001,,6278.657656018916
0.0160371874375133,0.00018329807108324357,,5575.5519352911515
0.0160371874375133,0.0003359818286283781,,5233.6123819673085
0.0160371874375133,0.0006158482110660267,,5059.265806804127
0.0160371874375133,0.0011288378916846883,,4967.712005236104
0.0160371874375133,0.00206913808111479,,4918.811233633309
0.0160371874375133,0.00379269019073225,,4892.442408454922
0.0160371874375133,0.0069519279617756054,,4878.148375691989
0.0160371874375133,0.012742749857031334,,4870.37737097009
0.0160371874375133,0.023357214690901212,,4866.145923323233
0.0160371874375133,0.04281332398719392,,4863.839825451491
0.0160371874375133,0.07847599703514607,,4862.582428486063
0.0160371874375133,0.14384498882876628,,4861.896656895851
0.0160371874375133,0.26366508987303583,,4861.522591156751
0.0160371874375133,0.4832930238571752,,4861.318534932491
0.0160371874375133,0.8858667904100823,,4861.207215758556
0.0160371874375133,1.623776739188721,,4861.146486194323
0.0160371874375133,2.9763514416313193,,4861.113355099575
0.0160371874375133,5.455594781168514,,4861.095280270698
0.0160371874375133,10.0,,4861.085419419211
