time,colocalization_perc,colocalization,all_camkii
0.0,0.0,0.0,0.001
0.016666666666666666,0.008136714969391766,8.136714969391777e-08,0.0010000000000000013
0.03333333333333333,0.01993838975704023,1.993838975704025e-07,0.0010000000000000009
0.05,0.03180703561073694,3.180703561073697e-07,0.001000000000000001
0.06666666666666667,0.04367321914033732,4.3673219140337353e-07,0.0010000000000000009
0.08333333333333333,0.055537623435492484,5.553762343549258e-07,0.0010000000000000018
0.1,0.0674003764585187,6.740037645851879e-07,0.0010000000000000013
0.11666666666666667,0.07926148634213025,7.92614863421303e-07,0.0010000000000000007
0.13333333333333333,0.09112095372486463,9.112095372486475e-07,0.0010000000000000013
0.15,0.10297877887462265,1.0297877887462274e-06,0.0010000000000000009
0.16666666666666666,0.11483496204274289,1.1483496204274294e-06,0.0010000000000000005
0.18333333333333332,0.12668950347982844,1.266895034798285e-06,0.0010000000000000005
0.2,0.13854240343641325,1.3854240343641325e-06,0.001
0.21666666666666667,0.15039366216298888,1.5039366216298896e-06,0.0010000000000000005
0.23333333333333334,0.16224327991000587,1.6224327991000596e-06,0.0010000000000000007
0.25,0.17409125692787367,1.7409125692787377e-06,0.0010000000000000007
0.26666666666666666,0.18593759346696057,1.8593759346696072e-06,0.0010000000000000009
0.2833333333333333,0.19778228977759374,1.9778228977759397e-06,0.001000000000000001
0.3,0.20962534611005945,2.0962534611005964e-06,0.0010000000000000009
0.31666666666666665,0.2214667627146028,2.214667627146029e-06,0.0010000000000000005
0.3333333333333333,0.23330653984142735,2.3330653984142747e-06,0.0010000000000000005
0.35,0.24514467774069634,2.451446777406965e-06,0.0010000000000000007
0.36666666666666664,0.25698117666253134,2.569811766625316e-06,0.0010000000000000009
0.38333333333333336,0.2688160368570137,2.6881603685701397e-06,0.0010000000000000009
0.4,0.2806492585741829,2.8064925857418313e-06,0.0010000000000000009
0.4166666666666667,0.29248084206403757,2.9248084206403772e-06,0.0010000000000000005
0.43333333333333335,0.3043107875765357,3.043107875765358e-06,0.0010000000000000005
0.45,0.31613909536159357,3.1613909536159382e-06,0.0010000000000000009
0.4666666666666667,0.3279657656690874,3.2796576566908784e-06,0.0010000000000000013
0.48333333333333334,0.33979079874885193,3.3979079874885224e-06,0.0010000000000000009
0.5,0.3516141948506806,3.516141948506807e-06,0.0010000000000000005
0.5166666666666667,0.3634359542243259,3.6343595422432635e-06,0.0010000000000000013
0.5333333333333333,0.3752560771195002,3.7525607711950047e-06,0.0010000000000000007
0.55,0.3870745637858735,3.8707456378587384e-06,0.0010000000000000009
0.5666666666666667,0.3988914144730768,3.988914144730767e-06,0.0009999999999999998
0.5833333333333334,0.4107066294306973,4.107066294306973e-06,0.001
0.6,0.42252020890828396,4.225202089082842e-06,0.0010000000000000005
0.6166666666666667,0.4343321531553439,4.343321531553439e-06,0.001
0.6333333333333333,0.44614246242134215,4.461424624213423e-06,0.0010000000000000005
0.65,0.45795113695570444,4.5795113695570444e-06,0.001
0.6666666666666666,0.4697581770078149,4.697581770078151e-06,0.0010000000000000005
0.6833333333333333,0.4815635828270166,4.815635828270169e-06,0.0010000000000000005
0.7,0.49336735466261195,4.933673546626122e-06,0.0010000000000000005
0.7166666666666667,0.5051694927638628,5.051694927638628e-06,0.001
0.7333333333333333,0.5169699973799883,5.1696999737998876e-06,0.0010000000000000009
0.75,0.5287688687601699,5.287688687601701e-06,0.0010000000000000005
0.7666666666666667,0.5405661071535449,5.405661071535451e-06,0.0010000000000000002
0.7833333333333333,0.5523617128092116,5.523617128092122e-06,0.0010000000000000009
0.8,0.5641556859762278,5.64155685976228e-06,0.0010000000000000005
0.8166666666666667,0.5759480269036082,5.759480269036087e-06,0.0010000000000000009
0.8333333333333334,0.5877387358403289,5.877387358403296e-06,0.0010000000000000013
0.85,0.5995278130353249,5.995278130353254e-06,0.0010000000000000009
0.8666666666666667,0.6113152587374888,6.1131525873748945e-06,0.0010000000000000009
0.8833333333333333,0.623101073195674,6.231010731956745e-06,0.0010000000000000009
0.9,0.6348852566586921,6.3488525665869265e-06,0.0010000000000000009
0.9166666666666666,0.6466678093753147,6.466678093753149e-06,0.0010000000000000005
0.9333333333333333,0.658448731594271,6.5844873159427155e-06,0.0010000000000000009
0.95,0.6702280235642518,6.702280235642523e-06,0.0010000000000000009
0.9666666666666667,0.6820056855339056,6.820056855339057e-06,0.0010000000000000002
0.9833333333333333,0.6937817177518389,6.937817177518398e-06,0.0010000000000000013
1.0,0.7055561204666214,7.055561204666217e-06,0.0010000000000000005
1.0166666666666666,0.7173288939267775,7.173288939267778e-06,0.0010000000000000005
1.0333333333333334,0.7291000383807938,7.2910003838079385e-06,0.001
1.05,0.7408695540771139,7.4086955407711416e-06,0.0010000000000000005
1.0666666666666667,0.7526374412641434,7.526374412641435e-06,0.001
1.0833333333333333,0.7644037001902435,7.644037001902439e-06,0.0010000000000000005
1.1,0.7761683311037391,7.76168331103739e-06,0.001
1.1166666666666667,0.7879313342529103,7.879313342529107e-06,0.0010000000000000005
1.1333333333333333,0.7996927098859997,7.99692709886e-06,0.0010000000000000005
1.15,0.8114524582512068,8.114524582512072e-06,0.0010000000000000005
1.1666666666666667,0.8232105795966922,8.232105795966922e-06,0.001
1.1833333333333333,0.8349670741705737,8.34967074170574e-06,0.0010000000000000005
1.2,0.8467219422209304,8.46721942220931e-06,0.0010000000000000007
1.2166666666666666,0.8584751839957999,8.584751839958009e-06,0.001000000000000001
1.2333333333333334,0.8702267997431795,8.702267997431798e-06,0.0010000000000000005
